lims_pedon_id,user_pedon_id,LRR,MLRA,approved_indicators_present,number_approved_indicators_present,has_at_least_one_approved_indicator_present,number_applicable_priority_indicators,number_not_demonstrated,number_insufficient_information,all_applicable_indicators_insufficient_information,interpretation,likely_neon_site_code,areasymbol,mukey,musym,muname,nasis_taxon_name,nasis_taxonomy,match_confidence,match_evidence,selected_cokey,selected_compname,selected_comppct_r,selected_majcompflag,selected_drainagecl,selected_hydricrating,selected_hydric_criteria,ssurgo_hydric_rating,high_confidence_ssurgo_match,ssurgo_hydric_yes,ssurgo_hydric_no,field_indicator_present,has_explicit_negative_morphology_evidence,complete_priority_indicator_evaluation,evidence_class,core_reference_cohort,conflict_flag
33553,S2014KS161501,H,76,,0,False,11,3,8,False,Indicator evidence only; no final hydric/nonhydric label assigned.,,KS161,1472305.0,4530,"Benfield-Florence complex, 5 to 30 percent slopes",Florence,"Clayey-skeletal, smectitic, mesic Udic Argiustolls",EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,26334567.0,Florence,30.0,Yes,Well drained,No,,no,True,False,True,False,True,False,PARTIAL_NEGATIVE_SUPPORT,False,False
33554,S2014KS161502,H,76,,0,False,11,6,5,False,Indicator evidence only; no final hydric/nonhydric label assigned.,,KS161,1472309.0,4625,"Dwight-Irwin complex, 1 to 3 percent slopes",Konza,"Fine, smectitic, mesic Pachic Udertic Argiustolls",AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,,,,,,,,,False,False,False,False,True,False,LINKAGE_UNRESOLVED,False,False
33557,S2014KS045001,M,106,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.,,KS045,2421220.0,7550,"Rosendale-Bendena silty clay loams, 3 to 40 percent slopes",Rosendale,"Fine, smectitic, mesic Pachic Argiudolls",EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,26317595.0,Rosendale,55.0,Yes,Moderately well drained,No,,no,True,False,True,False,True,False,PARTIAL_NEGATIVE_SUPPORT,False,False
33569,S2014KS161503,H,76,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.,,KS161,1472302.0,4350,"Chase silty clay loam, rarely flooded",Chase,"Fine, smectitic, mesic Pachic Vertic Argiudolls",EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,26334763.0,Chase,80.0,Yes,Somewhat poorly drained,No,,no,True,False,True,False,True,False,PARTIAL_NEGATIVE_SUPPORT,False,False
33614,S2014CO013501,E,48A,,0,False,10,1,9,False,Indicator evidence only; no final hydric/nonhydric label assigned.,,CO645,763013.0,8776B,"Moran family-Lithic Cryorthents-Rubble land complex, 5 to 40 percent slopes",Typic Haplocryolls,"Coarse-loamy, mixed, superactive Typic Haplocryolls",UNMATCHED,No candidate has adequate name or taxonomic agreement.,,,,,,,,,False,False,False,False,True,False,LINKAGE_UNRESOLVED,False,False
34175,S2015AL023004,P,133C,,0,False,12,2,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.,,AL023,328570.0,UrB,"Urbo-Mooreville-Una complex, 0 to 3 percent slopes, frequently flooded",Urbo,"Fine, mixed, active, acid, thermic Vertic Epiaquepts",EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,26923239.0,Urbo,40.0,Yes,Somewhat poorly drained,No,,no,True,False,True,False,True,False,PARTIAL_NEGATIVE_SUPPORT,False,False
34187,S2015TN155001,N,130B,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.,,TN640,553583.0,SsC,"Spivey-Santeetlah-Nowhere complex, 8 to 15 percent slopes, very stony",Spivey,"Loamy-skeletal, isotic, mesic Typic Humudepts",EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,26800422.0,Spivey,50.0,Yes,Well drained,No,,no,True,False,True,False,True,False,PARTIAL_NEGATIVE_SUPPORT,False,False
34193,S2015PR055001,Z,271,,0,False,12,6,6,False,Indicator evidence only; no final hydric/nonhydric label assigned.,,PR787,1716023.0,LcE,"La Covana-Limestone outcrop-Seboruco complex, 12 to 40 percent slopes",Altamira,"Coarse-loamy, carbonatic, isohyperthermic Typic Haplocalcids",AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,,,,,,,,,False,False,False,False,True,False,LINKAGE_UNRESOLVED,False,False
34295,S2015WA011001,A,3,,0,False,10,1,9,False,Indicator evidence only; no final hydric/nonhydric label assigned.,,WA011,71974.0,CnD,"Cinebar silt loam, 8 to 20 percent slopes",Kinney,"Fine-loamy, isotic, mesic Andic Humudepts",UNMATCHED,No candidate has adequate name or taxonomic agreement.,,,,,,,,,False,False,False,False,True,False,LINKAGE_UNRESOLVED,False,False
34347,S2015WI069002,K,94D,,0,False,10,1,9,False,Indicator evidence only; no final hydric/nonhydric label assigned.,,WI069,431643.0,3852B,"Padus-Pence sandy loams, 0 to 6 percent slopes",Padwet,"Coarse-loamy, mixed, superactive, frigid Alfic Haplorthods",AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,,,,,,,,,False,False,False,False,True,False,LINKAGE_UNRESOLVED,False,False
