lims_pedon_id,user_pedon_id,latitude,longitude,areasymbol,mukey,musym,muname,likely_neon_site_code,lab_proj_name,submit_proj_name,nasis_taxon_name,nasis_taxonomy,candidate_component_count,candidate_components,match_confidence,match_evidence,alternatives_rejected,selected_cokey,selected_compname,selected_comppct_r,selected_majcompflag,selected_taxorder,selected_taxsuborder,selected_taxgrtgroup,selected_taxsubgrp,selected_taxpartsize,selected_localphase,selected_otherph,selected_drainagecl,selected_hydricrating,selected_hydric_criteria,selected_hydric_criteria_keys
33553,S2014KS161501,39.10354,-96.56356,KS161,1472305,4530,"Benfield-Florence complex, 5 to 30 percent slopes",,C2014USKS070,MLRA 76 near NEON Site,Florence,"Clayey-skeletal, smectitic, mesic Udic Argiustolls",9.0,Benfield [26334566; 45%; No] | Florence [26334567; 30%; No] | Clime [26334568; 5%; No] | Labette [26334570; 5%; No] | Sogn [26334572; 5%; No] | Tully [26334571; 4%; No] | Konza [26334569; 3%; No] | Pawnee [26334573; 2%; No] | Aquolls [26334574; 1%; Yes],EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,Labette (26334570): weaker name/taxonomy score 54.0; Benfield (26334566): weaker name/taxonomy score 33.1; Sogn (26334572): weaker name/taxonomy score 31.7; Tully (26334571): weaker name/taxonomy score 25.4; Clime (26334568): weaker name/taxonomy score 10.8; Konza (26334569): weaker name/taxonomy score 10.8; Aquolls (26334574): weaker name/taxonomy score 0.7; Pawnee (26334573): weaker name/taxonomy score -10.0,26334567,Florence,30,Yes,Mollisols,Ustolls,Argiustolls,Udic Argiustolls,clayey-skeletal,,,Well drained,No,,
33554,S2014KS161502,39.10071,-96.56225,KS161,1472309,4625,"Dwight-Irwin complex, 1 to 3 percent slopes",,C2014USKS070,MLRA 76 near NEON Site,Konza,"Fine, smectitic, mesic Pachic Udertic Argiustolls",5.0,Dwight [26334767; 45%; No] | Irwin [26334770; 40%; No] | Clime [26334768; 6%; No] | Wymore [26334769; 6%; No] | Rock outcrop [26334766; 3%; No],AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,No plausible alternative rejected.,,,,,,,,,,,,,,,
33557,S2014KS045001,39.04175,-95.2043889,KS045,2421220,7550,"Rosendale-Bendena silty clay loams, 3 to 40 percent slopes",,I2014USKS072,NEON KS Douglas Co.,Rosendale,"Fine, smectitic, mesic Pachic Argiudolls",5.0,Rosendale [26317595; 55%; No] | Bendena [26317598; 27%; No] | Martin [26317596; 10%; No] | Wallula [26317597; 5%; No] | Rock outcrop [26317599; 3%; No],EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,Martin (26317596): weaker name/taxonomy score 44.7; Wallula (26317597): weaker name/taxonomy score 28.8; Bendena (26317598): weaker name/taxonomy score 17.5; Rock outcrop (26317599): weaker name/taxonomy score 6.7,26317595,Rosendale,55,Yes,Inceptisols,Udepts,Eutrudepts,Typic Eutrudepts,fine,,,Moderately well drained,No,,
33569,S2014KS161503,39.1082778,-96.6104722,KS161,1472302,4350,"Chase silty clay loam, rarely flooded",,I2014USKS075,NEON KS Riley Co,Chase,"Fine, smectitic, mesic Pachic Vertic Argiudolls",7.0,Chase [26334763; 80%; No] | Ivan [26334759; 5%; No] | Muscotah [26334761; 5%; No] | Reading [26334764; 5%; No] | Kennebec [26334760; 2%; No] | Martin [26334765; 2%; No] | Wabash [26334762; 1%; Yes],EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,Martin (26334765): weaker name/taxonomy score 46.4; Reading (26334764): weaker name/taxonomy score 45.8; Ivan (26334759): weaker name/taxonomy score 27.8; Muscotah (26334761): weaker name/taxonomy score 25.4; Kennebec (26334760): weaker name/taxonomy score 25.4; Wabash (26334762): weaker name/taxonomy score 12.7,26334763,Chase,80,Yes,Mollisols,Udolls,Argiudolls,Aquertic Argiudolls,fine,rarely flooded,,Somewhat poorly drained,No,,
33614,S2014CO013501,40.05236,-105.58324,CO645,763013,8776B,"Moran family-Lithic Cryorthents-Rubble land complex, 5 to 40 percent slopes",,I2014USCO078,NEON Co Boulder Co. Niwot Ridge,Typic Haplocryolls,"Coarse-loamy, mixed, superactive Typic Haplocryolls",4.0,Moran family [26663723; 60%; No] | Lithic Cryorthents [26663724; 20%; No] | Rubble land [26663725; 15%; No] | Leighcan family [26663722; 5%; No],UNMATCHED,No candidate has adequate name or taxonomic agreement.,All candidates lack sufficient correspondence to the sampled pedon.,,,,,,,,,,,,,,,
34175,S2015AL023004,31.8531111,-88.1610278,AL023,328570,UrB,"Urbo-Mooreville-Una complex, 0 to 3 percent slopes, frequently flooded",,I2015USAL049,NEON AL Lenoir Choctaw Co.,Urbo,"Fine, mixed, active, acid, thermic Vertic Epiaquepts",3.0,Urbo [26923239; 40%; No] | Mooreville [26923237; 20%; No] | Una [26923238; 20%; Yes],EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,Una (26923238): weaker name/taxonomy score 50.0; Mooreville (26923237): weaker name/taxonomy score 5.0,26923239,Urbo,40,Yes,Inceptisols,Aquepts,Epiaquepts,Vertic Epiaquepts,fine,,,Somewhat poorly drained,No,,
34187,S2015TN155001,35.6883889,-83.5018333,TN640,553583,SsC,"Spivey-Santeetlah-Nowhere complex, 8 to 15 percent slopes, very stony",,I2015USTN053,NEON TN Sevier GSM,Spivey,"Loamy-skeletal, isotic, mesic Typic Humudepts",4.0,Spivey [26800422; 50%; No] | Santeetlah [26800423; 25%; No] | Nowhere [26800424; 15%; Yes] | Minor soils [26800421; 10%; No],EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,Santeetlah (26800423): weaker name/taxonomy score 8.8; Nowhere (26800424): weaker name/taxonomy score 5.4; Minor soils (26800421): weaker name/taxonomy score 4.1,26800422,Spivey,50,Yes,Inceptisols,Udepts,Dystrudepts,Humic Dystrudepts,loamy-skeletal,,,Well drained,No,,
34193,S2015PR055001,17.96882,-66.86888,PR787,1716023,LcE,"La Covana-Limestone outcrop-Seboruco complex, 12 to 40 percent slopes",,I2015USPR055,NEON PR Guanica,Altamira,"Coarse-loamy, carbonatic, isohyperthermic Typic Haplocalcids",4.0,La Covana [27626967; 60%; No] | Limestone outcrop [27626968; 20%; No] | Seboruco [27626969; 15%; No] | Pitahaya [27626970; 5%; No],AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,No plausible alternative rejected.,,,,,,,,,,,,,,,
34295,S2015WA011001,45.762384,-122.329686,WA011,71974,CnD,"Cinebar silt loam, 8 to 20 percent slopes",,I2015USWA064,NEON WA Abby Road,Kinney,"Fine-loamy, isotic, mesic Andic Humudepts",1.0,Cinebar [26506821; 100%; No],UNMATCHED,No candidate has adequate name or taxonomic agreement.,All candidates lack sufficient correspondence to the sampled pedon.,,,,,,,,,,,,,,,
34347,S2015WI069002,45.4926944,-89.5875,WI069,431643,3852B,"Padus-Pence sandy loams, 0 to 6 percent slopes",,I2015USWI070,NEON WI Tree Haven,Padwet,"Coarse-loamy, mixed, superactive, frigid Alfic Haplorthods",7.0,Padus [27558202; 50%; No] | Pence [27558203; 30%; No] | Manitowish [27558197; 5%; No] | Padus [27558199; 5%; No] | Tipler [27558201; 5%; No] | Sayner [27558200; 3%; No] | Worcester [27558198; 2%; No],AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,No plausible alternative rejected.,,,,,,,,,,,,,,,
34348,S2015WI069001,45.5074944,-89.5888861,WI069,431633,3298B,"Moodig sandy loam, 0 to 4 percent slopes",,I2015USWI071,NEON WI Steigerwald,Pesabic,"Coarse-loamy, mixed, superactive, frigid Alfic Epiaquods",4.0,Moodig [27558099; 90%; No] | Capitola [27558096; 5%; Yes] | Hatley [27558097; 3%; No] | Sarwet [27558098; 2%; No],MEDIUM,No name match; unique candidate supported by at least three taxonomic ranks.,Sarwet (27558098): weaker name/taxonomy score 10.8; Hatley (27558097): weaker name/taxonomy score -14.6; Capitola (27558096): weaker name/taxonomy score -15.3,27558099,Moodig,90,Yes,Spodosols,Aquods,Epiaquods,Alfic Epiaquods,coarse-loamy,,,Somewhat poorly drained,No,,
34379,S2015AK240001,63.879713,-145.474663,AK657,2410043,29GE02,Gerstle-Tanana complex,,I2015USAK080,NEON AK Delta Junction,SND,"Coarse-loamy, mixed, superactive Typic Haplocryepts",4.0,29-Gerstle [26891740; 50%; No] | 29-Tanana [26891741; 40%; Yes] | 29-Tanacross [26891739; 5%; Yes] | 29-Salchaket [26891742; 5%; No],AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,No plausible alternative rejected.,,,,,,,,,,,,,,,
34489,S2015KS045100,39.04306,-95.20285,KS045,2420283,7461,"Oska silty clay loam, 3 to 8 percent slopes, eroded",UKFS,C2016USKS001,Site_C NEON_6_UKFS,Oska,"Fine, smectitic, mesic Vertic Argiudolls",3.0,Oska [26317442; 85%; No] | Bendena [26317444; 10%; No] | Chillicothe [26317443; 5%; No],EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,Chillicothe (26317443): weaker name/taxonomy score 64.7; Bendena (26317444): weaker name/taxonomy score 6.4,26317442,Oska,85,Yes,Mollisols,Udolls,Argiudolls,Vertic Argiudolls,fine,eroded,,Well drained,No,,
34490,S2015KS045101,39.04177,-95.20136,KS045,2421220,7550,"Rosendale-Bendena silty clay loams, 3 to 40 percent slopes",UKFS,C2016USKS001,Site_C NEON_6_UKFS,Rosendale,"Loamy-skeletal, mixed, mesic Typic Hapludolls",5.0,Rosendale [26317595; 55%; No] | Bendena [26317598; 27%; No] | Martin [26317596; 10%; No] | Wallula [26317597; 5%; No] | Rock outcrop [26317599; 3%; No],EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,Wallula (26317597): weaker name/taxonomy score 48.8; Bendena (26317598): weaker name/taxonomy score 37.5; Rock outcrop (26317599): weaker name/taxonomy score 6.7; Martin (26317596): weaker name/taxonomy score 4.7,26317595,Rosendale,55,Yes,Inceptisols,Udepts,Eutrudepts,Typic Eutrudepts,fine,,,Moderately well drained,No,,
34491,S2015KS045102,39.03747,-95.19714,KS045,2421220,7550,"Rosendale-Bendena silty clay loams, 3 to 40 percent slopes",UKFS,C2016USKS001,Site_C NEON_6_UKFS,Bendena,"Loamy, mixed, superactive, mesic Lithic Hapludolls",5.0,Rosendale [26317595; 55%; No] | Bendena [26317598; 27%; No] | Martin [26317596; 10%; No] | Wallula [26317597; 5%; No] | Rock outcrop [26317599; 3%; No],EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,Wallula (26317597): weaker name/taxonomy score 25.0; Martin (26317596): weaker name/taxonomy score 5.4; Rock outcrop (26317599): weaker name/taxonomy score 0.0; Rosendale (26317595): weaker name/taxonomy score -22.5,26317598,Bendena,27,Yes,Mollisols,Udolls,Hapludolls,Lithic Hapludolls,clayey,,,Somewhat excessively drained,No,,
34492,S2015KS045103,39.03228,-95.18835,KS045,2421220,7550,"Rosendale-Bendena silty clay loams, 3 to 40 percent slopes",UKFS,C2016USKS001,Site_C NEON_6_UKFS,Wamego,"Fine, mixed, superactive, mesic Typic Argiudolls",5.0,Rosendale [26317595; 55%; No] | Bendena [26317598; 27%; No] | Martin [26317596; 10%; No] | Wallula [26317597; 5%; No] | Rock outcrop [26317599; 3%; No],AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,No plausible alternative rejected.,,,,,,,,,,,,,,,
34493,S2015KS045104,39.03356,-95.18974,KS045,2421224,7305,"Martin silty clay loam, 7 to 12 percent slopes, eroded",UKFS,C2016USKS001,Site_C NEON_6_UKFS,Martin,"Fine, smectitic, mesic Aquertic Argiudolls",5.0,Martin [26317462; 85%; No] | Sibleyville [26317463; 5%; No] | Vinland [26317464; 5%; No] | Sogn [26317465; 3%; No] | Pawnee [26317461; 2%; No],EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,Pawnee (26317461): weaker name/taxonomy score 51.7; Sibleyville (26317463): weaker name/taxonomy score 44.1; Vinland (26317464): weaker name/taxonomy score 10.8; Sogn (26317465): weaker name/taxonomy score -13.0,26317462,Martin,85,Yes,Mollisols,Udolls,Argiudolls,Aquertic Argiudolls,fine,eroded,,Moderately well drained,No,,
34494,S2015KS045105,39.0315944,-95.1910278,KS045,2421224,7305,"Martin silty clay loam, 7 to 12 percent slopes, eroded",UKFS,C2016USKS001,Site_C NEON_6_UKFS,Martin,"Fine, smectitic, mesic Aquertic Argiudolls",5.0,Martin [26317462; 85%; No] | Sibleyville [26317463; 5%; No] | Vinland [26317464; 5%; No] | Sogn [26317465; 3%; No] | Pawnee [26317461; 2%; No],EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,Pawnee (26317461): weaker name/taxonomy score 51.7; Sibleyville (26317463): weaker name/taxonomy score 44.1; Vinland (26317464): weaker name/taxonomy score 10.8; Sogn (26317465): weaker name/taxonomy score -13.0,26317462,Martin,85,Yes,Mollisols,Udolls,Argiudolls,Aquertic Argiudolls,fine,eroded,,Moderately well drained,No,,
