lims_pedon_id,user_pedon_id,LRR,MLRA,approved_indicators_present,number_approved_indicators_present,has_at_least_one_approved_indicator_present,number_applicable_priority_indicators,number_not_demonstrated,number_insufficient_information,all_applicable_indicators_insufficient_information,interpretation,likely_neon_site_code,areasymbol,mukey,musym,muname,nasis_taxon_name,nasis_taxonomy,match_confidence,match_evidence,selected_cokey,selected_compname,selected_comppct_r,selected_majcompflag,selected_drainagecl,selected_hydricrating,selected_hydric_criteria,ssurgo_hydric_rating,high_confidence_ssurgo_match,ssurgo_hydric_yes,ssurgo_hydric_no,field_indicator_present,has_explicit_negative_morphology_evidence,complete_priority_indicator_evaluation,evidence_class,core_reference_cohort,conflict_flag
35450,S2016ND059013,F,54,,0,False,11,3,8,False,Indicator evidence only; no final hydric/nonhydric label assigned.,NOGP,ND059,2520774.0,E1875D,"Telfer loamy fine sand, 6 to 15 percent slopes",Schaller,"Sandy, mixed, frigid Entic Haplustolls",AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,,,,,,,,,False,False,False,False,True,False,LINKAGE_UNRESOLVED,False,False
35451,S2016ND059014,F,54,,0,False,11,6,5,False,Indicator evidence only; no final hydric/nonhydric label assigned.,NOGP,ND059,2699155.0,E2617F,"Cabba-Chama-Shambo loams, 9 to 50 percent slopes",Savage,"Fine, smectitic, frigid Vertic Argiustolls",AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,,,,,,,,,False,False,False,False,True,False,LINKAGE_UNRESOLVED,False,False
35452,S2016ND059016,F,54,,0,False,11,6,5,False,Indicator evidence only; no final hydric/nonhydric label assigned.,NOGP,ND059,2699155.0,E2617F,"Cabba-Chama-Shambo loams, 9 to 50 percent slopes",Sen,"Fine-silty, mixed, superactive, frigid Typic Haplustolls",AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,,,,,,,,,False,False,False,False,True,False,LINKAGE_UNRESOLVED,False,False
35453,S2016ND059017,F,54,,0,False,11,6,5,False,Indicator evidence only; no final hydric/nonhydric label assigned.,NOGP,ND059,2520776.0,E3755A,"Temvik-Wilton silt loams, 0 to 3 percent slopes",Wilton,"Fine-silty, mixed, superactive, frigid Pachic Haplustolls",EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,27700240.0,Wilton,38.0,Yes,Well drained,No,,no,True,False,True,False,True,False,PARTIAL_NEGATIVE_SUPPORT,False,False
35454,S2016ND059020,F,54,,0,False,11,6,5,False,Indicator evidence only; no final hydric/nonhydric label assigned.,NOGP,ND059,2699227.0,E4555D,"Wabek-Manning complex, 6 to 15 percent slopes",Chama,"Fine-silty, mixed, superactive, frigid Typic Calciustolls",EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,27699894.0,Chama,2.0,No ,Well drained,No,,no,True,False,True,False,True,False,PARTIAL_NEGATIVE_SUPPORT,False,False
35455,S2016ND059021,F,54,,0,False,11,3,8,False,Indicator evidence only; no final hydric/nonhydric label assigned.,NOGP,ND059,1718357.0,E2741D,"Cabba-Chama-Sen silt loams, 9 to 15 percent slopes",Farnuf,"Fine-loamy, mixed, superactive, frigid Typic Argiustolls",AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,,,,,,,,,False,False,False,False,True,False,LINKAGE_UNRESOLVED,False,False
35456,S2016ND059022,F,54,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.,NOGP,ND059,1718337.0,E0811A,"Grail silty clay loam, 0 to 2 percent slopes",Cabba,"Loamy, mixed, superactive, calcareous, frigid Typic Ustorthents",UNMATCHED,No candidate has adequate name or taxonomic agreement.,,,,,,,,,False,False,False,False,True,False,LINKAGE_UNRESOLVED,False,False
35457,S2016ND059023,F,54,,0,False,11,6,5,False,Indicator evidence only; no final hydric/nonhydric label assigned.,NOGP,ND059,1718331.0,E0651B,"Regent-Janesburg complex, 3 to 6 percent slopes",Janesburg,"Fine, smectitic, frigid Typic Natrustolls",EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,27699478.0,Janesburg,28.0,Yes,Well drained,No,,no,True,False,True,False,True,False,PARTIAL_NEGATIVE_SUPPORT,False,False
35458,S2016ND059024,F,54,,0,False,11,3,8,False,Indicator evidence only; no final hydric/nonhydric label assigned.,NOGP,ND059,2520776.0,E3755A,"Temvik-Wilton silt loams, 0 to 3 percent slopes",Wilton,"Fine-silty, mixed, superactive, frigid Pachic Haplustolls",EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,27700240.0,Wilton,38.0,Yes,Well drained,No,,no,True,False,True,False,True,False,PARTIAL_NEGATIVE_SUPPORT,False,False
35459,S2016ND059027,F,54,,0,False,11,3,8,False,Indicator evidence only; no final hydric/nonhydric label assigned.,NOGP,ND059,2494863.0,E2601C,"Amor-Cabba loams, 6 to 9 percent slopes",Grail,"Fine, smectitic, frigid Pachic Vertic Argiustolls",MEDIUM,No name match; unique candidate supported by at least three taxonomic ranks.,27699633.0,Regent,5.0,No ,Well drained,No,,no,False,False,False,False,True,False,LINKAGE_UNRESOLVED,False,False
