lims_pedon_id,user_pedon_id,latitude,longitude,areasymbol,mukey,musym,muname,likely_neon_site_code,lab_proj_name,submit_proj_name,nasis_taxon_name,nasis_taxonomy,candidate_component_count,candidate_components,match_confidence,match_evidence,alternatives_rejected,selected_cokey,selected_compname,selected_comppct_r,selected_majcompflag,selected_taxorder,selected_taxsuborder,selected_taxgrtgroup,selected_taxsubgrp,selected_taxpartsize,selected_localphase,selected_otherph,selected_drainagecl,selected_hydricrating,selected_hydric_criteria,selected_hydric_criteria_keys
35448,S2016ND059008,46.801622,-100.914473,ND059,1718353.0,E2601D,"Amor-Cabba loams, 9 to 15 percent slopes",NOGP,C2016USND122,Site_C NEON_10_NOGP,Savage,"Fine, smectitic, frigid Vertic Argiustolls",5.0,Amor [27699640; 51%; No] | Cabba [27699639; 33%; No] | Chama [27699638; 9%; No] | Shambo [27699637; 5%; No] | Arnegard [27699641; 2%; No],AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,No plausible alternative rejected.,,,,,,,,,,,,,,,
35449,S2016ND059011,46.785917,-100.916085,ND059,2759666.0,E1025C,"Regent-Wyola silty clay loams, 6 to 9 percent slopes",NOGP,C2016USND122,Site_C NEON_10_NOGP,Morton,"Fine-silty, mixed, superactive, frigid Typic Argiustolls",6.0,Regent [27699453; 64%; No] | Wyola [27699454; 20%; No] | Cabba [27699449; 6%; No] | Moreau [27699450; 5%; No] | Grail [27699452; 3%; No] | Janesburg [27699451; 2%; No],AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,No plausible alternative rejected.,,,,,,,,,,,,,,,
35450,S2016ND059013,46.807505,-100.903558,ND059,2520774.0,E1875D,"Telfer loamy fine sand, 6 to 15 percent slopes",NOGP,C2016USND122,Site_C NEON_10_NOGP,Schaller,"Sandy, mixed, frigid Entic Haplustolls",7.0,Telfer [27700182; 73%; No] | Lihen [27700181; 11%; No] | Beisigl [27700183; 5%; No] | Tally [27700184; 3%; No] | Vebar [27700185; 3%; No] | Seroco [27700186; 3%; No] | Ekalaka [27700180; 2%; No],AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,No plausible alternative rejected.,,,,,,,,,,,,,,,
35451,S2016ND059014,46.785732,-100.912045,ND059,2699155.0,E2617F,"Cabba-Chama-Shambo loams, 9 to 50 percent slopes",NOGP,C2016USND122,Site_C NEON_10_NOGP,Savage,"Fine, smectitic, frigid Vertic Argiustolls",6.0,Cabba [27699643; 41%; No] | Chama [27699644; 27%; No] | Shambo [27699645; 15%; No] | Amor [27699646; 10%; No] | Arnegard [27699647; 5%; No] | Rock outcrop [27699642; 2%; No],AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,No plausible alternative rejected.,,,,,,,,,,,,,,,
35452,S2016ND059016,46.79185,-100.917078,ND059,2699155.0,E2617F,"Cabba-Chama-Shambo loams, 9 to 50 percent slopes",NOGP,C2016USND122,Site_C NEON_10_NOGP,Sen,"Fine-silty, mixed, superactive, frigid Typic Haplustolls",6.0,Cabba [27699643; 41%; No] | Chama [27699644; 27%; No] | Shambo [27699645; 15%; No] | Amor [27699646; 10%; No] | Arnegard [27699647; 5%; No] | Rock outcrop [27699642; 2%; No],AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,No plausible alternative rejected.,,,,,,,,,,,,,,,
35453,S2016ND059017,46.764807,-100.921602,ND059,2520776.0,E3755A,"Temvik-Wilton silt loams, 0 to 3 percent slopes",NOGP,C2016USND122,Site_C NEON_10_NOGP,Wilton,"Fine-silty, mixed, superactive, frigid Pachic Haplustolls",4.0,Temvik [27700237; 51%; No] | Wilton [27700240; 38%; No] | Williams [27700238; 9%; No] | Grassna [27700239; 2%; No],EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,Grassna (27700239): weaker name/taxonomy score 65.4; Temvik (27700237): weaker name/taxonomy score 45.8; Williams (27700238): weaker name/taxonomy score 15.0,27700240.0,Wilton,38.0,Yes,Mollisols,Ustolls,Haplustolls,Pachic Haplustolls,fine-silty,,,Well drained,No,,
35454,S2016ND059020,46.800505,-100.919598,ND059,2699227.0,E4555D,"Wabek-Manning complex, 6 to 15 percent slopes",NOGP,C2016USND122,Site_C NEON_10_NOGP,Chama,"Fine-silty, mixed, superactive, frigid Typic Calciustolls",8.0,Wabek [27699890; 41%; No] | Manning [27699891; 26%; No] | Wabek [27699896; 11%; No] | Williams [27699892; 7%; No] | Bowdle [27699893; 5%; No] | Lehr [27699897; 5%; No] | Schaller [27699895; 3%; No] | Chama [27699894; 2%; No],EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,Schaller (27699895): weaker name/taxonomy score 16.2; Manning (27699891): weaker name/taxonomy score 11.7; Williams (27699892): weaker name/taxonomy score 10.8; Lehr (27699897): weaker name/taxonomy score 7.8; Wabek (27699890): weaker name/taxonomy score 7.0; Wabek (27699896): weaker name/taxonomy score 7.0; Bowdle (27699893): weaker name/taxonomy score 0.0,27699894.0,Chama,2.0,No ,Mollisols,Ustolls,Calciustolls,Typic Calciustolls,fine-silty,,"ECM03D l,9-15%",Well drained,No,,
35455,S2016ND059021,46.798325,-100.904268,ND059,1718357.0,E2741D,"Cabba-Chama-Sen silt loams, 9 to 15 percent slopes",NOGP,C2016USND122,Site_C NEON_10_NOGP,Farnuf,"Fine-loamy, mixed, superactive, frigid Typic Argiustolls",8.0,Cabba [27700138; 42%; No] | Chama [27700144; 26%; No] | Sen [27700139; 16%; No] | Vebar [27700140; 5%; No] | Golva [27700141; 3%; No] | Janesburg [27700142; 3%; No] | Grassna [27700145; 3%; No] | Maschetah [27700143; 2%; No],AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,No plausible alternative rejected.,,,,,,,,,,,,,,,
35456,S2016ND059022,46.786505,-100.910593,ND059,1718337.0,E0811A,"Grail silty clay loam, 0 to 2 percent slopes",NOGP,C2016USND122,Site_C NEON_10_NOGP,Cabba,"Loamy, mixed, superactive, calcareous, frigid Typic Ustorthents",5.0,Grail [27699458; 65%; No] | Wyola [27699456; 12%; No] | Grail [27699459; 10%; No] | Belfield [27699455; 9%; No] | Lawther [27699457; 4%; No],UNMATCHED,No candidate has adequate name or taxonomic agreement.,All candidates lack sufficient correspondence to the sampled pedon.,,,,,,,,,,,,,,,
35457,S2016ND059023,46.799135,-100.902753,ND059,1718331.0,E0651B,"Regent-Janesburg complex, 3 to 6 percent slopes",NOGP,C2016USND122,Site_C NEON_10_NOGP,Janesburg,"Fine, smectitic, frigid Typic Natrustolls",7.0,Regent [27699477; 40%; No] | Janesburg [27699478; 28%; No] | Reeder [27699479; 10%; No] | Wyola [27699483; 8%; No] | Belfield [27699480; 6%; No] | Dogtooth [27699481; 5%; No] | Barkof [27699482; 3%; No],EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,Belfield (27699480): weaker name/taxonomy score 44.1; Dogtooth (27699481): weaker name/taxonomy score 44.1; Regent (27699477): weaker name/taxonomy score 29.3; Wyola (27699483): weaker name/taxonomy score 25.0; Reeder (27699479): weaker name/taxonomy score 24.7; Barkof (27699482): weaker name/taxonomy score -10.7,27699478.0,Janesburg,28.0,Yes,Mollisols,Ustolls,Natrustolls,Typic Natrustolls,fine,,,Well drained,No,,
