wavenumber_cm1,hydric_mean_snv,nonhydric_mean_snv,snv_standardized_difference
3638.0,0.38411049054228225,0.3428232671126896,0.18734810588909445
3636.0,0.40449451536669184,0.3623351476413963,0.19185231493321142
3634.0,0.42244742573429095,0.37949167063514305,0.1964709860837724
3632.0,0.4358611566883536,0.39236521652911666,0.20030480185993713
3630.0,0.44569769283264593,0.4013724748373017,0.206082853391988
3628.0,0.46277388179183765,0.4152230169620122,0.2236205217838223
3626.0,0.4861989745967975,0.4336631038519634,0.24972805122285083
3624.0,0.5044464896691112,0.4477607610581251,0.27248049332525015
3622.0,0.5117725812370744,0.45296737920615415,0.28694910429100434
3620.0,0.5036300270620572,0.4452837707108161,0.2915376330664362
3618.0,0.4841981977558481,0.4281497000654084,0.28811756621443874
3616.0,0.4652502822723011,0.4115625724272334,0.28227253474418196
3614.0,0.45042349206997956,0.3982725698877721,0.2791768523558626
3612.0,0.4386255187626327,0.38719869820311575,0.28026048394376946
3610.0,0.4293881230088017,0.3782688300792581,0.2834414815902661
3608.0,0.4223734533985626,0.3708493864159668,0.2907108474040926
3606.0,0.4185635642079559,0.36571879456926787,0.30296135095779125
3604.0,0.41605053778169854,0.3619530993333411,0.31441856032059995
3602.0,0.4110342005307522,0.3561711369893909,0.32408179692203193
3600.0,0.4045736639646343,0.3489566653246644,0.33466114735631064
3598.0,0.39878940307055566,0.34230297150832206,0.34611389158777817
3596.0,0.39341284145086963,0.336024221633563,0.3578492551144231
3594.0,0.3880679258253922,0.3295535241323726,0.3711432299842589
3592.0,0.38308624404809394,0.3235781444708998,0.38340851987081664
3590.0,0.37668476027311176,0.3168042737067367,0.3921845370997279
3588.0,0.3685018233325212,0.3080333880557411,0.4037858434252838
3586.0,0.3639343658321023,0.30180926083826165,0.4217313391140571
3584.0,0.36464363735470623,0.3006132994026867,0.4391047875353838
3582.0,0.36611631307689285,0.3007324870636003,0.452570927188295
3580.0,0.36600652366653497,0.29964262382302936,0.46472515745986426
