wavenumber_cm1,mean_delta,median_delta,hydric_lower_count,hydric_higher_count,269180_minus_269142,242130_minus_247323,242114_minus_269150,242107_minus_247270,242125_minus_247310
3926.0,-0.0464842423738808,-0.057519189159632944,4,1,-0.08228629944887222,-0.057519189159632944,-0.06740422066078877,0.007261363884720762,-0.03247286648483083
3924.0,-0.046700684405998595,-0.05744977129422435,4,1,-0.0825644376135608,-0.05744977129422435,-0.06746132807532423,0.006221824131250164,-0.032249709178133745
3922.0,-0.04681410049065904,-0.05747469694818208,4,1,-0.08264004430871297,-0.05747469694818208,-0.06732925704794579,0.005908984506703963,-0.03253548865515832
3920.0,-0.04725143776877121,-0.05770884207411764,4,1,-0.08290470555181506,-0.05770884207411764,-0.06751095591335443,0.004408779146670927,-0.03254146445123984
3918.0,-0.047598629204577844,-0.05772539569222079,4,1,-0.08330385816473784,-0.05772539569222079,-0.06772727344149798,0.0030160446521569906,-0.03225266337658961
3916.0,-0.047150328698316014,-0.057502543569168285,4,1,-0.0829636672744094,-0.057502543569168285,-0.06705553250635132,0.004998937391223146,-0.0332288375328742
3914.0,-0.04627520573265742,-0.057390790968005145,4,1,-0.08187633155514362,-0.057390790968005145,-0.06574572079569196,0.009038995308595865,-0.03540218065304224
3912.0,-0.04577478717017578,-0.05747149856913647,4,1,-0.08103403076229188,-0.05747149856913647,-0.06483158134037792,0.011482369730038577,-0.03701919490911121
3910.0,-0.045873971468074745,-0.0576476355621538,4,1,-0.08091911611915514,-0.0576476355621538,-0.0646869216757524,0.011126827903568115,-0.037243011886880506
3908.0,-0.04681608022038777,-0.057934522257921284,4,1,-0.08174796643348836,-0.057934522257921284,-0.06561130102345003,0.00683505381720928,-0.035621665204288444
3906.0,-0.04874485019977111,-0.05807663076422731,5,0,-0.08387561351945183,-0.05807663076422731,-0.06790063828964676,-0.002501030110301228,-0.0313703383152284
3904.0,-0.050620432587435316,-0.05769111444536379,5,0,-0.08646395636731197,-0.05769111444536379,-0.07037623592229392,-0.012589444028357155,-0.02598141217384975
3902.0,-0.05115959647032882,-0.05726985469748591,5,0,-0.0877085623011431,-0.05726985469748591,-0.07108397173712655,-0.016270099671764182,-0.023465493944124338
3900.0,-0.05016435895013771,-0.0571265173488964,5,0,-0.08696508927455171,-0.0571265173488964,-0.0695900345260041,-0.011743983973006022,-0.025396169628230325
3898.0,-0.04824422045321355,-0.0570435443735513,5,0,-0.08482408980461709,-0.0570435443735513,-0.0668940360089918,-0.002415510055107317,-0.03004392202380024
3896.0,-0.04687141563451345,-0.05714380116640827,4,1,-0.08274758861789677,-0.05714380116640827,-0.06501263128186552,0.004341646910826169,-0.03379470401722284
3894.0,-0.04720914457714227,-0.05749595226577253,4,1,-0.08252837232701737,-0.05749595226577253,-0.0653323499013434,0.00310904159394787,-0.033798089985525914
3892.0,-0.04810756296525467,-0.05746300248938385,5,0,-0.0837629378253546,-0.05746300248938385,-0.06643685666876031,-0.0014960700185790987,-0.03137894782419548
3890.0,-0.04797912800756663,-0.057267863917475736,5,0,-0.08408336611275291,-0.057267863917475736,-0.06609331723741652,-0.0012920584100999388,-0.031159034360088045
3888.0,-0.04821058887184271,-0.05758545884464028,5,0,-0.08397641557981861,-0.05758545884464028,-0.06616772747476696,-0.0018543450082357804,-0.03146899745175191
3886.0,-0.04928887680433447,-0.05762782716923498,5,0,-0.08506473767225242,-0.05762782716923498,-0.06767805651388814,-0.006918555034951979,-0.029155207631344826
3884.0,-0.04916431112488682,-0.056999735756113834,5,0,-0.08548212108809161,-0.056999735756113834,-0.06765358909000474,-0.00782338395933313,-0.02786272573089077
